id_processo;numero_sigilo;sigla_grau;procedimento;ramo_justica;sigla_tribunal;id_tribunal;recurso;id_ultimo_oj;dt_recebimento;id_ultima_classe;flag_violencia_domestica;flag_feminicidio;flag_ambiental;flag_quilombolas;flag_indigenas;flag_infancia;decisao;dt_resolvido;cnm1;primeirasentm1;baixm1;decm1;mpum1;julgadom1;desm1;susm1
323963163;0702916-43.2023.8.07.0016;JE;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;6660;2023-01-19;278;0;0;0;0;0;0;0;2023-03-03;0;0;0;;0;;0;0
323963164;0700455-31.2023.8.07.0006;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;7056;2023-01-14;305;0;0;0;0;0;0;0;2023-02-24;0;;0;;0;;0;0
323963168;0700218-41.2021.8.07.0014;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;43064;2021-01-15;7;0;0;0;0;0;0;0;2021-04-19;0;0;0;;0;;0;0
323963173;0001636-66.2018.8.07.0012;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;12144;2018-06-20;10943;0;0;0;0;0;0;0;2019-09-02;0;0;0;;0;;0;0
323963178;0707257-94.2018.8.07.0014;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;43068;2018-12-18;58;0;0;0;0;0;0;0;2019-07-10;0;0;0;;0;;0;0
323963179;0010215-57.2014.8.07.0007;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;7042;2014-04-03;10943;0;0;0;0;0;0;0;2024-03-06;0;0;0;;0;;0;0
323963181;0700743-41.2021.8.07.0008;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6943;2021-02-17;7;0;0;0;0;0;0;0;2021-06-18;0;0;0;;0;;0;0
323963184;0702778-95.2022.8.07.0021;JE;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;81524;2022-08-09;278;0;0;0;0;0;0;0;2022-08-16;0;0;0;;0;;0;0
323963185;0016107-51.2017.8.07.0003;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;6580;2018-01-16;10943;0;0;0;0;0;0;0;2021-10-27;0;0;0;;0;;0;0
323963187;0701811-08.2021.8.07.0014;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;43064;2021-03-08;81;0;0;0;0;0;0;0;2021-04-20;0;0;0;;0;;0;0
323963188;0031676-52.2014.8.07.0018;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6739;2014-08-29;12078;0;0;0;0;0;0;0;2016-03-29;0;;0;;0;;0;0
323963197;0704923-13.2020.8.07.0016;JE;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;87956;2020-02-03;436;0;0;0;0;0;0;0;2021-02-19;0;0;0;;0;;0;0
323963199;0001486-27.2019.8.07.0020;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;77284;2020-02-06;10943;0;0;0;0;0;0;0;2020-09-10;0;0;0;;0;;0;0
323963200;0703094-88.2020.8.07.0018;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;14144;2020-05-07;7;0;0;0;0;0;0;0;2020-12-15;0;0;0;;0;;0;0
323963201;0006919-17.2016.8.07.0020;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;77284;2016-10-27;283;0;0;0;0;0;0;0;2020-05-12;0;0;0;;0;;0;0
323963204;sigiloso(323963204);G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6570;2012-09-14;7;0;0;0;0;0;0;0;2014-10-02;0;0;0;;0;;0;0
323963209;0004016-02.2003.8.07.0008;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;82795;2003-05-28;30;0;0;0;0;0;0;0;2020-07-21;0;0;0;;0;;0;0
323963210;0700919-61.2023.8.07.0004;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;17241;2023-01-25;1268;1;0;0;0;0;0;0;2023-02-15;0;;0;;0;;0;0
323963211;0700215-36.2023.8.07.0008;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6943;2023-01-16;7;0;0;0;0;0;0;0;2023-01-25;0;;0;;0;;0;0
323963214;sigiloso(323963214);G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6600;2011-01-25;7;0;0;0;0;0;0;0;2012-11-28;0;0;0;;0;;0;0
323963216;0706709-18.2022.8.07.0018;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6771;2022-05-30;7;0;0;0;0;0;0;0;2022-06-28;0;;0;;0;;0;0
323963219;0708282-63.2023.8.07.0016;JE;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;14152;2023-02-14;14695;0;0;0;0;0;0;0;2023-02-17;0;0;0;;0;;0;0
323963227;0004166-19.2018.8.07.0020;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;84223;2019-01-08;283;0;0;0;0;0;0;0;2021-07-06;0;0;0;;0;;0;0
323963229;0700548-67.2023.8.07.0014;JE;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;42948;2023-01-24;278;0;0;0;0;0;0;0;2023-04-26;0;;0;;0;;0;0
323963238;0701472-55.2021.8.07.0012;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;12145;2021-03-15;58;0;0;0;0;0;0;0;2022-11-28;0;0;0;;0;;0;0
323963239;0014445-81.2015.8.07.0016;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;16327;2015-10-02;10943;1;0;0;0;0;0;0;2017-05-19;0;0;0;;0;;0;0
323963242;0703315-72.2023.8.07.0016;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;13122;2023-01-22;1268;1;0;0;0;0;0;0;2023-03-14;0;;0;;0;;0;0
323963245;0700662-12.2023.8.07.0012;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;14150;2023-01-28;7;0;0;0;0;0;0;0;2023-03-01;0;0;0;;0;;0;0
323963246;0019150-36.2016.8.07.0001;G1;Conhecimento não criminal;Justiça Estadual;TJDFT;71;0;6576;2016-06-29;7;0;0;0;0;0;0;0;2018-10-31;0;0;0;;0;;0;0
323963248;0001149-17.2018.8.07.0006;G1;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;16283;2018-10-11;10943;1;0;0;0;0;0;0;2019-10-29;0;0;0;;0;;0;0
323963256;0701394-68.2020.8.07.0021;JE;Conhecimento criminal;Justiça Estadual;TJDFT;71;0;81524;2020-09-25;278;0;0;0;0;0;0;0;2021-07-10;0;0;0;;0;;0;0
